Ряд скользящих средних,Разница между исходным рядом и рядом скользящих средних,Сезонный фактор
3025471837.5714,260748346.42857,-1831962160.25664
2995783986.5714,538368620.42857,1197964330.26429
2695208947.4286,-235674393.42857,1335828382.99124
2155513361.7143,827987495.28571,-8835465962.70805
2112810766.2857,-1158743803.28571,1411013878.87219
4483844845.0000,-4146238389.00000,7530996327.72118
4319340009.8571,-2785828098.85714,-808374796.88421
4930802785.4286,-1943500769.42857,-1831962160.25664
5223997466.2857,14907393691.71430,1197964330.26429
6954461807.2857,-5646461099.28571,1335828382.99124
7124962067.4286,138778218.57143,-8835465962.70805
8709921413.7143,-5703491684.71428,1411013878.87219
6056375026.2857,6394481816.71429,7530996327.72118
6680169898.0000,-3953156166.00000,-808374796.88421
7739845621.4286,6342171818.57143,-1831962160.25664
9854667222.1429,-8298100776.14286,1197964330.26429
9847208036.2857,-4172643226.28572,1335828382.99124
10785564150.5714,3895906199.42857,-8835465962.70805
9521872794.0000,8288308140.00000,1411013878.87219
9819249267.4286,2579393274.57143,7530996327.72118
10342953009.2857,-1047446477.28572,-808374796.88421
8928861946.8571,-3692684002.85714,-1831962160.25664
6912598317.0000,-3274396557.00000,1197964330.26429
6012360923.8571,3328130079.14286,1335828382.99124
5266592474.7143,-483759561.71429,-8835465962.70805
5715239047.7143,-2018903522.71429,1411013878.87219
5505045462.4286,591935327.57143,7530996327.72118
4541924455.4286,-466797067.42857,-808374796.88421
4121721125.4286,4254982829.57143,-1831962160.25664
4043328555.0000,-1876481892.00000,1197964330.26429
4264314477.8571,-1665670523.85714,1335828382.99124
4040193364.7143,-2198783761.71429,-8835465962.70805
3680010930.5714,-532423398.57143,1411013878.87219
4621335090.7143,3022547159.28571,7530996327.72118
4733573720.5714,-2227294124.57143,-808374796.88421
5132725650.8571,722701265.14286,-1831962160.25664
4792530267.7143,3963585516.28571,1197964330.26429
5413124989.1429,-2028810626.14286,1335828382.99124
5855561433.1429,-1220088318.14286,-8835465962.70805
5198921171.2857,-4432701321.28571,1411013878.87219
4454228197.8571,7533817102.14286,7530996327.72118
4536285073.5714,1067049630.42857,-808374796.88421
4277682573.7143,-3018737490.71429,-1831962160.25664
5358744762.0000,-1815479792.00000,1197964330.26429
3906784966.2857,51927526.71429,1335828382.99124
3787983760.0000,-962728144.00000,-8835465962.70805
4767451688.2857,3566203479.71429,1411013878.87219
4625848178.8571,-2801521448.85714,7530996327.72118
5265012326.7143,-493286066.71429,-808374796.88421
5695985167.8571,2419235413.14286,-1831962160.25664
4984774842.4286,-2432734438.42857,1197964330.26429
4904251224.8571,3528610303.14286,1335828382.99124
5423023939.7143,419041564.28571,-8835465962.70805
4488064519.5714,-1132881629.57143,1411013878.87219
4829754222.7143,-3569092815.71429,7530996327.72118
4303187053.5714,4099948210.42857,-808374796.88421
4311693786.7143,-2741189146.71429,-1831962160.25664
3911815922.4286,1032052403.57143,1197964330.26429
3892341021.4286,854550322.57143,1335828382.99124
3312410112.0000,2589202524.00000,-8835465962.70805
3558001656.1429,-3001963816.14286,1411013878.87219
3447943277.4286,-2323606177.42857,7530996327.72118
3096874764.1429,1246744133.85714,-808374796.88421
2761224703.5714,528420745.42857,-1831962160.25664
3025233012.7143,1148226662.28571,1197964330.26429
3372804883.1429,-1083393132.14286,1335828382.99124
2831359532.0000,720702680.00000,-8835465962.70805
2828842165.7143,-424746161.71429,1411013878.87219
2274908724.8571,1282431468.14286,7530996327.72118
1991514827.8571,-1438013387.85714,-808374796.88421
1538487033.1429,1733536851.85714,-1831962160.25664
1977597704.8571,-1681672115.85714,1197964330.26429
1995391665.2857,-1689737193.28571,1335828382.99124
2840672588.5714,-2459804939.57143,-8835465962.70805
2892274894.7143,2585595811.28571,1411013878.87219
3180757869.8571,501140046.14286,7530996327.72118
4902517585.2857,1567950317.71429,-808374796.88421
7097694673.4286,-3464454645.42857,-1831962160.25664
6809475399.1429,-4494168984.14286,1197964330.26429
7758122754.0000,4599849726.00000,1335828382.99124
6978738604.0000,8768368662.00000,-8835465962.70805
6775362823.5714,-3315027037.57143,1411013878.87219
7284743727.7143,3037685672.28571,7530996327.72118
6211765135.7143,-5196986282.71429,-808374796.88421
4229266126.5714,-2019656561.57143,-1831962160.25664
4191918428.5714,1689054315.42857,1197964330.26429
2806018821.4286,2041103514.57143,1335828382.99124
4850732210.7143,-2981118008.71429,-8835465962.70805
5786190936.1429,-2587289036.14286,1411013878.87219
5436324729.8571,-4815192579.85714,7530996327.72118
6204951400.1429,9122821177.85714,-808374796.88421
6293777279.8571,2464043363.14286,-1831962160.25664
6025519120.0000,-2593609820.00000,1197964330.26429
6169335471.1429,4058173556.85714,1335828382.99124
5096106947.1429,-2604711587.14286,-8835465962.70805
4941967273.8571,-3620872492.85714,1411013878.87219
4563975081.2857,-2936128473.28571,7530996327.72118
4953036341.7143,2862136568.28571,-808374796.88421
5585909552.4286,2092933377.57143,-1831962160.25664
6581484428.5714,-5795520476.57143,1197964330.26429
7120055176.7143,5830882674.28571,1335828382.99124
6983416735.0000,-61908900.00000,-8835465962.70805
6153325012.8571,2136793901.14286,1411013878.87219
6368561147.7143,-970719302.71429,7530996327.72118
5571604427.0000,1287099391.00000,-808374796.88421
4922332620.8571,-3054131745.85714,-1831962160.25664
3786252238.1429,-1493635342.14286,1197964330.26429
3944407489.5714,3427833316.42857,1335828382.99124
3481214635.5714,-1104609443.57143,-8835465962.70805
3682668624.2857,-3345112389.28571,1411013878.87219
4569217499.7143,1935711105.28571,7530996327.72118
3995414576.7143,-379060736.71429,-808374796.88421
4664389393.5714,-1386010597.57143,-1831962160.25664
4824233410.1429,3674225613.85714,1197964330.26429
4444141544.0000,-1088521199.00000,1335828382.99124
4928855042.8571,2130573867.14286,-8835465962.70805
5529046823.4286,-4072582472.42857,1411013878.87219
4375715768.5714,-531430226.57143,7530996327.72118
4178260707.7143,2831087624.28571,-808374796.88421
3779742476.5714,3699978783.42857,-1831962160.25664
4273576274.7143,-3848434634.71429,1197964330.26429
4200165631.5714,-2226730712.57143,1335828382.99124
3723175597.5714,546625694.42857,-8835465962.70805
2829162155.8571,2084138782.14286,1411013878.87219
3814587905.5714,-484176865.57143,7530996327.72118
4170869454.2857,-500451360.28571,-808374796.88421
4013682951.4286,-2792055783.42857,-1831962160.25664
4276896131.7143,3046225756.28571,1197964330.26429
4740824468.5714,-273418708.57143,1335828382.99124
5342237929.4286,-2172742157.42857,-8835465962.70805
5259304362.5714,1496488837.42857,1411013878.87219
4459214998.2857,2118694399.71429,7530996327.72118
4739387585.8571,3140924734.14286,-808374796.88421
5205885693.4286,-4564793493.42857,-1831962160.25664
4759506422.4286,-3037010084.42857,1197964330.26429
4673338141.5714,1755275731.42857,1335828382.99124
3578880309.0000,2856102216.00000,-8835465962.70805
4219249882.7143,-588111579.71429,1411013878.87219
4485683308.7143,1489048123.28571,7530996327.72118
4363455208.7143,-4144347716.71429,-808374796.88421
4137186606.0000,986492610.00000,-1831962160.25664
3671355313.5714,-83824993.57143,1197964330.26429
2916259248.7143,2656757924.28571,1335828382.99124
3255832994.1429,1595269311.85714,-8835465962.70805
2759595631.4286,-2389276375.42857,1411013878.87219
3132457921.8571,-2443398943.85714,7530996327.72118
2557812672.0000,38311038.00000,-808374796.88421
2188272879.0000,-538255202.00000,-1831962160.25664
2911003956.7143,3286562396.28571,1197964330.26429
5371919846.7143,-3821419422.71429,1335828382.99124
6079371491.2857,-3815047736.28571,-8835465962.70805
6602489387.1429,-1173052587.14286,1411013878.87219
6204303192.7143,11711167015.28570,7530996327.72118
6511844794.0000,1036440428.00000,-808374796.88421
7400702585.5714,-2088859637.57143,-1831962160.25664
6630847273.5714,-3220584281.57143,1197964330.26429
5895770502.4286,-2192478869.42857,1335828382.99124
5176697659.2857,3309630636.71429,-8835465962.70805
5400696381.0000,-5360246765.00000,1411013878.87219
7804735223.5714,4965197586.42857,7530996327.72118
8536953194.0000,-6022177874.00000,-808374796.88421
7454621515.1429,-574787515.14286,-1831962160.25664
7790543791.5714,12447991098.42860,1197964330.26429
6483377675.8571,2345439750.14286,1335828382.99124
7276308045.2857,-6366301501.28571,-8835465962.70805
7080335980.2857,-4688430429.28571,1411013878.87219
4759066767.4286,-1139296767.42857,7530996327.72118
4241943759.4286,3823344146.57143,-808374796.88421
5563546138.8571,-55516593.85714,-1831962160.25664
5296031824.8571,-1306381424.85714,1197964330.26429
5195672360.7143,13284009.28571,1335828382.99124
4315013719.0000,5846209481.00000,-8835465962.70805
3819821983.2857,-3300516630.28571,1411013878.87219
4386488377.8571,-1469234626.85714,7530996327.72118
4768248503.5714,-2867571089.57143,-808374796.88421
4449203736.1429,-2407516341.14286,-1831962160.25664
5024871678.2857,2931443483.71429,1197964330.26429
4907869942.4286,2973407307.57143,1335828382.99124
5241621964.0000,2686287864.00000,-8835465962.70805
5077853211.1429,-528872263.14286,1411013878.87219
3976119000.8571,-1877877400.85714,7530996327.72118
3036363955.4286,1200577609.57143,-808374796.88421
1981413890.8571,-1086107765.85714,-1831962160.25664
2172056147.1429,-1927880457.14286,1197964330.26429
2220571022.8571,-917579090.85714,1335828382.99124
1862458693.5714,-1319199317.57143,-8835465962.70805
2160714963.7143,3722761778.28571,1411013878.87219
2569589458.1429,-131743728.14286,7530996327.72118
2858570006.4286,-1128414746.42857,-808374796.88421
4109903819.1429,-1126803803.14286,-1831962160.25664
4392853167.8571,-1286556016.85714,1197964330.26429
4512419878.1429,-1186564108.14286,1335828382.99124
4610259566.0000,4692336499.00000,-8835465962.70805
4799366496.8571,3064755686.14286,1411013878.87219
5520888213.8571,-2246075511.85714,7530996327.72118
5119052578.2857,-2704019503.28571,-808374796.88421
3988935833.5714,317912698.42857,-1831962160.25664
3473486504.5714,4683462665.42857,1197964330.26429
3477810431.4286,-2964804110.42857,1335828382.99124
4019152436.7143,-2627373584.71429,-8835465962.70805
3900403376.1429,355573503.85714,1411013878.87219
2748840203.2857,556239986.71429,7530996327.72118
3527595443.1429,2676831668.85714,-808374796.88421
4130648313.4286,-655043205.42857,-1831962160.25664
4205948493.0000,-4109941533.00000,1197964330.26429
4293590805.1429,1670702194.85714,1335828382.99124
3713393271.1429,1899755672.85714,-8835465962.70805
3928055650.5714,855022486.42857,1411013878.87219
4777933434.5714,-859357059.57143,7530996327.72118
4916984370.8571,-2773939996.85714,-808374796.88421
4831351196.0000,146890568.00000,-1831962160.25664
4705765496.7143,1339385951.28571,1197964330.26429
4343432660.7143,2594216893.28571,1335828382.99124
4919154039.2857,94562680.71429,-8835465962.70805
4819545123.1429,-915566881.14286,1411013878.87219
4856761516.2857,-3474514993.28571,7530996327.72118
4583563936.7143,1589530087.28571,-808374796.88421
4619874767.5714,-338895416.57143,-1831962160.25664
4111812027.2857,2193854172.71429,1197964330.26429
4001364161.4286,1023902335.57143,1335828382.99124
4114980669.9429,1152911866.05714,-8835465962.70805
3982673812.8714,-3635134752.87143,1411013878.87219
4124956554.1000,-3515845092.10000,7530996327.72118
4230582490.9714,2737827092.62857,-808374796.88421
4375834819.6714,-1021003468.17143,-1831962160.25664
5081079254.9000,2220566133.70000,1197964330.26429
5216158997.7429,548489057.35714,1335828382.99124
5012298658.6571,1272360178.24286,-8835465962.70805
4849382218.2571,434867888.34286,1411013878.87219
3943048034.3714,-2388378372.47143,7530996327.72118
3177801975.8143,2363585234.18571,-808374796.88421
2310869211.0571,-96452942.35714,-1831962160.25664
2090229997.9571,-1132923896.55714,1197964330.26429
2551167586.2714,-2143241941.07143,1335828382.99124
1859887473.8143,-1643757990.21429,-8835465962.70805
1984219570.8429,1755556044.05714,1411013878.87219
2469446166.0714,2311786614.02857,7530996327.72118
3126448532.8286,-2424022110.02857,-808374796.88421
3640590465.8143,-555849517.91429,-1831962160.25664
3818277263.4571,535615004.54286,1197964330.26429
3234378588.9000,1772563623.60000,1335828382.99124
4046633865.9857,-231510851.48571,-8835465962.70805
4514473899.1143,469109299.28571,1411013878.87219
4307134636.4286,-3613192578.22857,7530996327.72118
3698424543.2857,2689788819.11429,-808374796.88421
3238628038.1571,3120993141.64286,-1831962160.25664
3432360413.7714,-529842984.57143,1197964330.26429
4318097371.8429,-3572125811.34286,1335828382.99124
3499706978.2429,-2903159499.64286,-8835465962.70805
3290491277.3286,3049218550.37143,1411013878.87219
2885912701.1143,4008188063.58571,7530996327.72118
3072065608.4571,-2412585001.25714,-808374796.88421
3621884117.3429,1273227156.05714,-1831962160.25664
3627724831.7143,-3557257436.01429,1197964330.26429
3570242516.3000,-1521200604.40000,1335828382.99124
4154115588.1286,291161452.67143,-8835465962.70805
3917305351.8571,2463289476.44286,1411013878.87219
3974851670.5143,2516872886.28571,7530996327.72118
4499738022.2143,246854087.78571,-808374796.88421
4341612618.9429,-1104172999.44286,-1831962160.25664
3510196191.3286,-3036904565.02857,1197964330.26429
2665245194.0286,3058001179.77143,1335828382.99124
2669355855.4286,669043362.47143,-8835465962.70805
2553465983.5571,-1992786148.55714,1411013878.87219
2711851794.5429,-2134784218.84286,7530996327.72118
2094697501.2857,2680669238.51429,-808374796.88421
2432866692.9857,-6656176.58571,-1831962160.25664
2496292276.7000,-914299973.50000,1197964330.26429
2456979292.8714,-1053812971.87143,1335828382.99124
1838326277.5000,3867257282.30000,-8835465962.70805
2140387665.5857,-1135728744.58571,1411013878.87219
2319744424.0571,-2017867735.15714,7530996327.72118
2128206735.5714,-1683411103.37143,-808374796.88421
1436851204.4714,3103789028.52857,-1831962160.25664
1406455459.7143,1431034152.78571,1197964330.26429
2046184442.9000,-1983781941.30000,1335828382.99124
2082876123.5143,-1216781281.41429,-8835465962.70805
1509846769.6857,-717958061.98571,1411013878.87219
1567210071.2000,3212769500.00000,7530996327.72118
2033745955.8714,-1332108559.37143,-808374796.88421
2361434908.8000,-1832000152.60000,-1831962160.25664
2323020309.7000,916012413.40000,1197964330.26429
2247819083.6286,1080334610.67143,1335828382.99124
2732629571.1286,427287941.47143,-8835465962.70805
3275015880.6143,-2752029366.61429,1411013878.87219
3233993187.7714,1019577800.92857,7530996327.72118
3233096373.7286,862214435.27143,-808374796.88421
3357280633.4000,968858289.20000,-1831962160.25664
3779881838.3714,-828007965.17143,1197964330.26429
3750274563.5429,-428398567.54286,1335828382.99124
3591832294.2571,437375036.04286,-8835465962.70805
3605829774.1857,-124634825.38572,1411013878.87219
3270504306.1571,775815758.74286,7530996327.72118
3432410293.5143,-446195369.51429,-808374796.88421
2874310336.0143,1549810946.08571,-1831962160.25664
2871437087.9286,-2266841490.92857,1197964330.26429
2403703912.0857,2051513995.41429,1335828382.99124
2217429414.5429,-2094921786.74286,-8835465962.70805
1713071935.6857,1748010276.51429,1411013878.87219
2082461012.5143,-1310273178.51429,7530996327.72118
1696377756.7857,-14084315.58571,-808374796.88421
2352858363.0714,-1459239432.97143,-1831962160.25664
2343581946.7286,846737188.07143,1197964330.26429
2832325896.2714,-1079690778.87143,1335828382.99124
3143640696.8571,1574231174.94286,-8835465962.70805
3256304478.4571,139842819.34286,1411013878.87219
2809685994.4571,1383709486.34286,7530996327.72118
3110134218.7143,751362826.58571,-808374796.88421
3061113351.2571,-1378847949.95714,-1831962160.25664
2871844331.5714,-2807854584.77143,1197964330.26429
2363518296.6857,1492254390.51429,1335828382.99124
2450052479.3857,1924673320.21429,-8835465962.70805
2311912485.3714,-240648325.37143,1411013878.87219
2790468139.1857,-2155354902.58571,7530996327.72118
2740546630.1857,1726689694.01429,-808374796.88421
2373331224.8000,-1658045781.60000,-1831962160.25664
2383963388.6714,1029915934.82857,1197964330.26429
2380396196.7000,1125925927.50000,1335828382.99124
2001369649.8429,-197151687.94286,-8835465962.70805
2421645729.9429,-275956422.84286,1411013878.87219
2026676402.8143,-1416533510.01429,7530996327.72118
1899240104.5857,-85189608.38571,-808374796.88421
1958847698.4286,1698370305.47143,-1831962160.25664
1841239763.7857,-1192145730.18571,1197964330.26429
2098594399.4571,515673637.14286,1335828382.99124
1936174049.3429,285297069.45714,-8835465962.70805
1776260757.3571,-453826992.75714,1411013878.87219
2151076942.0714,260548400.42857,7530996327.72118
1864035299.6000,-1186927254.20000,-808374796.88421
2076083282.0714,461741677.92857,-1831962160.25664
2084683563.0429,1188123763.55714,1197964330.26429
2128905862.6571,-1523929323.35714,1335828382.99124
2493273507.0714,1212533489.02857,-8835465962.70805
2184283483.9857,-801647752.58571,1411013878.87219
1716994551.7143,1004186888.08571,7530996327.72118
1633867802.2429,1593813754.05714,-808374796.88421
1281993089.2286,-907098290.82857,-1831962160.25664
1510573364.9429,-1508788564.24286,1197964330.26429
1335668311.5286,-1312579018.52857,1335828382.99124
1000408103.2000,242275901.80000,-8835465962.70805
1141813717.3143,1840883944.08571,1411013878.87219
1361864076.0857,134981989.81429,7530996327.72118
1620834792.5143,-739974694.51429,-808374796.88421
1774120301.6571,-409386204.45714,-1831962160.25664
1599522383.8000,-57385071.70000,1197964330.26429
1784251933.0857,51632374.91429,1335828382.99124
1733838981.1429,581843587.85714,-8835465962.70805
1794969132.8571,-34456896.45714,1411013878.87219
1822580367.4000,967372543.50000,7530996327.72118
1757458017.2857,-1229488582.88571,-808374796.88421
1613712222.6286,178932936.57143,-1831962160.25664
1794106739.6571,-58690785.75714,1197964330.26429
1441823068.0857,-61795210.88571,1335828382.99124
1466323107.8000,-156861101.40000,-8835465962.70805
1596075469.4286,1427198386.17143,1411013878.87219
1595216575.9857,-1271249366.08571,7530996327.72118
1436572963.0143,-737103250.61429,-808374796.88421
1565318642.4143,1135593048.18571,-1831962160.25664
1228973530.2429,500430169.55714,1197964330.26429
1214327101.3429,-944804534.94286,1335828382.99124
1300280266.3000,910401495.90000,-8835465962.70805
1043887626.9286,-375029556.52857,1411013878.87219
925899962.8429,-704457755.24286,7530996327.72118
1007796665.2143,293345201.88571,-808374796.88421
769707993.0714,136455221.92857,-1831962160.25664
780589691.3857,122900359.81429,1197964330.26429
871160546.3429,-28361063.34286,1335828382.99124
733609710.3429,-189548653.14286,-8835465962.70805
940023999.1571,-194994040.55714,1411013878.87219
855341327.0286,96865.27143,7530996327.72118
835149133.1143,-496863118.01429,-808374796.88421
911540240.3714,1439522996.32857,-1831962160.25664
933934923.2714,-623223576.97143,1197964330.26429
907481054.8857,-206026929.28571,1335828382.99124
1022377052.3286,56421755.67143,-8835465962.70805
733262528.3286,168530210.57143,1411013878.87219
773400954.0286,-103139840.42857,7530996327.72118
728861957.6714,413696039.52857,-808374796.88421
737397118.5143,-410135549.81429,-1831962160.25664
716149218.2286,-124468892.02857,1197964330.26429
886169466.9714,-496488315.87143,1335828382.99124
811472549.3000,327072384.60000,-8835465962.70805
852708597.7143,-99651160.81429,1411013878.87219
769343282.5286,1091059572.27143,7530996327.72118
812359567.1857,-192679993.68571,-808374796.88421
702774994.1429,-86861086.54286,-1831962160.25664
814633103.4714,-806509983.57143,1197964330.26429
736721221.3429,-45926077.64286,1335828382.99124
863520189.8714,-492067267.27143,-8835465962.70805
898074272.6714,637989929.52857,1411013878.87219
943420773.6714,371598906.22857,7530996327.72118
990321575.4857,516950777.71429,-808374796.88421
1143896636.1000,-286104148.90000,-1831962160.25664
1108973643.7286,-783425016.82857,1197964330.26429
1115546139.1714,-96445382.77143,1335828382.99124
1019362741.6714,427115605.22857,-8835465962.70805
973551363.5286,318051892.07143,1411013878.87219
1012172988.3143,348854159.68571,7530996327.72118
1018959456.9571,-184970886.25714,-808374796.88421
931167127.3286,-394054287.12857,-1831962160.25664
874402294.2857,-278502293.88571,1197964330.26429
804032554.4000,262573482.50000,1335828382.99124
791797091.7000,40134947.80000,-8835465962.70805
857609105.8429,36640318.45714,1411013878.87219
836966609.3714,31472359.42857,7530996327.72118
707449663.5429,40890668.25714,-808374796.88421
651806769.7286,345990169.47143,-1831962160.25664
654558660.1571,-203156135.05714,1197964330.26429
658448802.1000,-498461386.00000,1335828382.99124
654417325.8571,-211985543.05714,-8835465962.70805
610556472.2571,302956185.04286,1411013878.87219
646370611.3857,249299351.01429,7530996327.72118
650293040.2429,69826957.85714,-808374796.88421
611149919.3571,79621044.64286,-1831962160.25664
527509857.9286,174591641.07143,1197964330.26429
481330077.5429,-293885659.44286,1335828382.99124
393974786.7857,-225544850.18571,-8835465962.70805
315681350.5286,12350876.77143,1411013878.87219
238583574.1714,333827925.52857,7530996327.72118
231299741.9857,-122666779.18571,-808374796.88421
218587906.4714,-75870996.27143,-1831962160.25664
229528692.4286,-67111627.92857,1197964330.26429
150417236.6143,-13959643.81429,1335828382.99124
148677091.0429,-69230003.04286,-8835465962.70805
158529304.1429,246088424.85714,1411013878.87219
143309710.7143,-124678401.71429,7530996327.72118
130994013.3000,-34542069.50000,-808374796.88421
130742852.9857,80939548.91429,-1831962160.25664
89244397.4429,-33364486.94286,1197964330.26429
96220014.6857,-45972303.78571,1335828382.99124
88100707.8286,-10411742.02857,-8835465962.70805
62225857.2429,51902682.95714,1411013878.87219
1061222176.3143,-993761546.61429,7530996327.72118
1061726033.9000,-1022109238.10000,-808374796.88421
3203489473.6429,-3172931025.84286,-1831962160.25664
4022516503.3286,3026337640.67143,1197964330.26429
4876836434.5143,-4823061720.51429,1335828382.99124
6481322446.1143,8588710597.88571,-8835465962.70805
6876320117.0000,-1029002369.00000,1411013878.87219
7022166489.5714,-974466341.57143,7530996327.72118
7985051280.7143,3285967596.28571,-808374796.88421
7277588480.1429,-4482046336.14286,-1831962160.25664
7792946344.7143,276832407.28571,1197964330.26429
8278806211.2857,-1484837959.28571,1335828382.99124
8513751415.1429,1604042024.85714,-8835465962.70805
9513316766.0000,-58493966.00000,1411013878.87219
8968822330.2857,479896883.71429,7530996327.72118
8769868911.4286,4145766392.57143,-808374796.88421
7764092416.2857,2028407183.71429,-1831962160.25664
7377322485.2857,-3119004783.28571,1197964330.26429
6416214661.1429,-1014920341.14286,1335828382.99124
5018219462.0000,-1940861488.00000,-8835465962.70805
4583325022.0000,2164108261.00000,1411013878.87219
4337672680.4286,-1616708235.42857,7530996327.72118
5321720390.7143,-2192051480.71429,-808374796.88421
5819342342.4286,928896177.57143,-1831962160.25664
6143149085.1429,-3604397774.14286,1197964330.26429
5919212033.0000,6370416259.00000,1335828382.99124
5690960885.1429,869750750.85714,-8835465962.70805
4901688160.2857,4112392321.71429,1411013878.87219
4753397769.0000,-3599992689.00000,7530996327.72118
3731026990.1429,-2199116115.14286,-808374796.88421
4209272463.1429,-2985943017.14286,-1831962160.25664
3901652515.0000,-2400933943.00000,1197964330.26429
5124945296.4286,8087543.57143,1335828382.99124
5585186633.7143,4323243313.28571,-8835465962.70805
6002410222.5714,858330622.42857,1411013878.87219
6715096832.8571,3001357717.14286,7530996327.72118
7332540937.1429,-2578940701.14286,-808374796.88421
6118085829.5714,-1974191261.57143,-1831962160.25664
6538648372.0000,-49123528.00000,1197964330.26429
6396399761.5714,3058741808.42857,1335828382.99124
6045086762.1429,-4637842568.14286,-8835465962.70805
6161563748.8571,3643114893.14286,1411013878.87219
6266402182.2857,2454312094.71429,7530996327.72118
5051341686.0000,-2756932446.00000,-808374796.88421
5928563019.1429,-969329544.14286,-1831962160.25664
5644249058.8571,1579144819.14286,1197964330.26429
5739978495.8571,-4790260399.85714,1335828382.99124
5820828801.8571,1726964724.14286,-8835465962.70805
5469542611.4286,2344938308.57143,1411013878.87219
4439145577.4286,4951674758.57143,7530996327.72118
4910713448.0000,-2050352066.00000,-808374796.88421
4664295718.0000,-2164065576.00000,-1831962160.25664
4329711555.8571,-4319096915.85714,1197964330.26429
3772491267.8571,478201922.14286,1335828382.99124
3488500184.7143,2334369231.28571,-8835465962.70805
3626088753.8571,1846303031.14286,1411013878.87219
4177892307.2857,1312386012.71429,7530996327.72118
3992591787.2857,-3120167987.28571,-808374796.88421
3417308629.5714,46041496.42857,-1831962160.25664
3348927327.1429,524312186.85714,1197964330.26429
2666783364.2857,286806185.71429,1335828382.99124
2889719052.0000,-1093831740.00000,-8835465962.70805
3334851296.8571,1658871371.14286,1411013878.87219
3025233314.8571,-2309962734.85714,7530996327.72118
3257524270.5714,-824550656.57143,-808374796.88421
3379551842.0000,3199723998.00000,-1831962160.25664
3435855573.0000,-1729941933.00000,1197964330.26429
3792998255.5714,786627984.42857,1335828382.99124
3999238045.0000,-1349157733.00000,-8835465962.70805
3749832543.4286,1638016241.57143,1411013878.87219
3674135034.2857,-458865676.28571,7530996327.72118
3709079608.1429,167572531.85714,-808374796.88421
3708306224.1429,1125131104.85714,-1831962160.25664
3534198509.7143,-2358167433.71429,1197964330.26429
3508946396.0000,1315291861.00000,1335828382.99124
5163251366.0000,-2518584742.00000,-8835465962.70805
